,name,dim,permute,variant,n_mixing_layer,use_sem,nonlin_sem,force_chain,force_uniform,mcc,val_loss
0,happy-sweep-60,10,True,3628600,1,True,True,False,False,0.9466350158779404,0.08214187622070312
1,grateful-sweep-56,10,True,3628600,1,True,True,False,False,0.9987562750893356,0.029648780822753903
2,misty-sweep-57,10,True,3628600,1,True,True,False,False,0.9449260336063552,0.0820455551147461
3,whole-sweep-58,10,True,3628600,1,True,True,False,False,0.9495895407633184,0.07573413848876953
4,eager-sweep-59,10,True,3628600,1,True,True,False,False,0.9490405317986071,0.09066390991210938
5,bright-sweep-53,10,True,2645120,1,True,True,False,False,0.9491706063513664,0.07718086242675781
6,colorful-sweep-55,10,True,2645120,1,True,True,False,False,0.9478262365665092,0.09018230438232422
7,colorful-sweep-54,10,True,2645120,1,True,True,False,False,0.9478929095849772,0.08955192565917969
8,stellar-sweep-52,10,True,2645120,1,True,True,False,False,0.9451896025008656,0.081787109375
9,colorful-sweep-51,10,True,2645120,1,True,True,False,False,0.948223895618065,0.08996200561523438
10,wise-sweep-50,10,True,1875424,1,True,True,False,False,0.7952931597843491,0.20030927658081055
11,distinctive-sweep-49,10,True,1875424,1,True,True,False,False,0.9478267446414432,0.09270381927490234
12,swept-sweep-47,10,True,1875424,1,True,True,False,False,0.9451537532471964,0.08134078979492188
13,absurd-sweep-46,10,True,1875424,1,True,True,False,False,0.946881196660226,0.08811378479003906
14,volcanic-sweep-48,10,True,1875424,1,True,True,False,False,0.946461239553908,0.07800960540771484
15,curious-sweep-45,10,True,1257846,1,True,True,False,False,0.9468195786153276,0.08095073699951172
16,daily-sweep-44,10,True,1257846,1,True,True,False,False,0.950115341670026,0.08960628509521484
17,polar-sweep-42,10,True,1257846,1,True,True,False,False,0.9448471973698236,0.08359909057617188
18,helpful-sweep-43,10,True,1257846,1,True,True,False,False,0.9464934345502932,0.07863426208496094
19,dainty-sweep-40,10,True,657894,1,True,True,False,False,0.9452126617779232,0.0839986801147461
20,sparkling-sweep-39,10,True,657894,1,True,True,False,False,0.9475566864036176,0.0892324447631836
21,magic-sweep-41,10,True,1257846,1,True,True,False,False,0.9435608064161544,0.07674026489257812
22,eager-sweep-37,10,True,657894,1,True,True,False,False,0.9987471537137332,0.025869369506835938
23,sleek-sweep-38,10,True,657894,1,True,True,False,False,0.946797121633428,0.07622337341308594
24,confused-sweep-35,10,True,0,1,True,True,False,False,0.947107231331426,0.08193302154541016
25,sweet-sweep-36,10,True,657894,1,True,True,False,False,0.9143447289933428,0.0852060317993164
26,gallant-sweep-34,10,True,0,1,True,True,False,False,0.9481769773466752,0.09392070770263672
27,zesty-sweep-33,10,True,0,1,True,True,False,False,0.9468860650409092,0.0773916244506836
28,giddy-sweep-31,10,True,0,1,True,True,False,False,0.946317823246206,0.076263427734375
29,absurd-sweep-32,10,True,0,1,True,True,False,False,0.9448784720406526,0.08184337615966797
