,name,dim,permute,variant,n_mixing_layer,use_sem,nonlin_sem,force_chain,force_uniform,mcc,val_loss
0,dry-firefly-1108,10,False,0,1,True,True,False,False,0.9462453311432756,0.08972740173339844
1,quiet-durian-1109,10,False,0,1,True,True,False,False,0.9461753828289016,0.0746774673461914
2,light-waterfall-1110,10,False,0,1,True,True,False,False,0.9982808458600884,0.03744983673095703
3,sparkling-armadillo-1111,10,False,0,1,True,True,False,False,0.9975028595230933,0.03430938720703125
4,northern-fog-1112,10,False,0,1,True,True,False,False,0.9473158082372166,0.08133888244628906
5,true-lion-1113,10,False,0,1,True,True,False,False,0.9980520715278508,0.03544425964355469
6,peachy-rain-1114,10,False,0,1,True,True,False,False,0.9481769773466752,0.09392070770263672
7,dutiful-sound-1115,10,False,0,1,True,True,False,False,0.9448784720406526,0.08184337615966797
8,lemon-night-1116,10,False,0,1,True,True,False,False,0.9468860650409092,0.0773916244506836
9,stellar-monkey-1117,10,False,0,1,True,True,False,False,0.946317823246206,0.076263427734375
10,wild-sun-1118,10,False,0,1,True,False,False,False,0.945418066209334,0.07754802703857422
11,sparkling-meadow-1119,10,False,0,1,True,False,False,False,0.9410652837876068,0.07428455352783203
12,woven-moon-1120,10,False,0,1,True,False,False,False,0.946525500169108,0.08149337768554688
13,brisk-deluge-1121,10,False,0,1,True,False,False,False,0.9990280483408992,0.03194618225097656
14,grateful-spaceship-1122,10,False,0,1,True,False,False,False,0.947555533628678,0.08596515655517578
15,rare-sound-1123,10,False,0,1,True,False,False,False,0.930128627881422,0.08655261993408203
16,swept-eon-1124,10,False,0,1,True,False,False,False,0.9987026645030392,0.034996986389160156
17,exalted-capybara-1125,10,False,0,1,True,False,False,False,0.9989967585241224,0.028470993041992188
18,bright-firefly-1126,10,False,0,1,True,False,False,False,0.9992242973706812,0.02747154235839844
19,smart-serenity-1127,10,False,0,1,True,False,False,False,0.9415826500938776,0.07753467559814453
