,name,dim,permute,variant,n_mixing_layer,use_sem,nonlin_sem,force_chain,force_uniform,mcc,val_loss
0,hardy-sweep-60,3,True,5,1,True,True,False,False,0.9999784129422808,4.464838981628418
1,likely-sweep-59,3,True,5,1,True,True,False,False,0.9999422980272056,4.492342948913574
2,pious-sweep-58,3,True,5,1,True,True,False,False,0.999749695731729,4.445499420166016
3,warm-sweep-57,3,True,5,1,True,True,False,False,0.9999623767644022,4.499106407165527
4,fresh-sweep-55,3,True,4,1,True,True,False,False,0.9999694450648314,4.4647932052612305
5,tough-sweep-56,3,True,5,1,True,True,False,False,0.9999520225207134,4.461814880371094
6,eager-sweep-54,3,True,4,1,True,True,False,False,0.9999565500364516,4.492822170257568
7,polished-sweep-53,3,True,4,1,True,True,False,False,0.9999603067030964,4.4438276290893555
8,frosty-sweep-52,3,True,4,1,True,True,False,False,0.999902374274908,4.5380120277404785
9,mild-sweep-51,3,True,4,1,True,True,False,False,0.9999708589935352,4.461669445037842
10,glad-sweep-50,3,True,3,1,True,True,False,False,0.9998748560256502,4.466190338134766
11,exalted-sweep-49,3,True,3,1,True,True,False,False,0.9999404283994054,4.494222640991211
12,copper-sweep-48,3,True,3,1,True,True,False,False,0.9993610420433424,4.460302352905273
13,apricot-sweep-47,3,True,3,1,True,True,False,False,0.9999502763018256,4.537750244140625
14,rare-sweep-46,3,True,3,1,True,True,False,False,0.9999603097259456,4.462029457092285
15,dainty-sweep-45,3,True,2,1,True,True,False,False,0.999848215395509,4.465005874633789
16,flowing-sweep-44,3,True,2,1,True,True,False,False,0.9999257464213808,4.492863655090332
17,light-sweep-43,3,True,2,1,True,True,False,False,0.999874402831082,4.446173191070557
18,restful-sweep-42,3,True,2,1,True,True,False,False,0.9998348152851682,4.5386962890625
19,autumn-sweep-41,3,True,2,1,True,True,False,False,0.9999179098013572,4.46115779876709
20,confused-sweep-40,3,True,1,1,True,True,False,False,0.9999146189595856,4.464712619781494
21,deep-sweep-39,3,True,1,1,True,True,False,False,0.9999729819904916,4.492302894592285
22,proud-sweep-38,3,True,1,1,True,True,False,False,0.9996111890363024,4.446372032165527
23,visionary-sweep-37,3,True,1,1,True,True,False,False,0.999960285287607,4.537596702575684
24,smooth-sweep-36,3,True,1,1,True,True,False,False,0.9999712269599268,4.461594581604004
25,whole-sweep-35,3,True,0,1,True,True,False,False,0.9999261025720476,4.464823246002197
26,lively-sweep-34,3,True,0,1,True,True,False,False,0.9999523803990148,4.470317840576172
27,treasured-sweep-33,3,True,0,1,True,True,False,False,0.9997371741411232,4.444945335388184
28,rural-sweep-32,3,True,0,1,True,True,False,False,0.9997040181454744,4.503710746765137
29,super-sweep-31,3,True,0,1,True,True,False,False,0.9999393659740752,4.46220588684082
30,ancient-sweep-30,3,True,5,1,True,False,False,False,0.9999647807226598,4.463658332824707
31,vivid-sweep-29,3,True,5,1,True,False,False,False,0.999975064310703,4.491377353668213
32,vital-sweep-28,3,True,5,1,True,False,False,False,0.99993122457825,4.444493293762207
33,kind-sweep-26,3,True,5,1,True,False,False,False,0.9999606996662006,4.460318088531494
34,blooming-sweep-25,3,True,4,1,True,False,False,False,0.9999292691494982,4.463765621185303
35,treasured-sweep-27,3,True,5,1,True,False,False,False,0.9999706445811553,4.536303997039795
36,silvery-sweep-24,3,True,4,1,True,False,False,False,0.99989407283482,4.493478298187256
37,breezy-sweep-23,3,True,4,1,True,False,False,False,0.9999200097658856,4.445014476776123
38,upbeat-sweep-22,3,True,4,1,True,False,False,False,0.9999631787221768,4.535738945007324
39,fiery-sweep-21,3,True,4,1,True,False,False,False,0.9999187735339676,4.4607014656066895
40,eternal-sweep-18,3,True,3,1,True,False,False,False,0.9999611947734,4.445621490478516
41,clean-sweep-15,3,True,2,1,True,False,False,False,0.9998998306733976,4.464288234710693
42,hopeful-sweep-16,3,True,3,1,True,False,False,False,0.9999716615606196,4.460529327392578
43,gallant-sweep-13,3,True,2,1,True,False,False,False,0.9999463714943024,4.444553375244141
44,silver-sweep-11,3,True,2,1,True,False,False,False,0.99996839277512,4.461305141448975
45,wise-sweep-14,3,True,2,1,True,False,False,False,0.9999559054844444,4.492217063903809
46,dandy-sweep-12,3,True,2,1,True,False,False,False,0.9999418652038852,4.536406993865967
47,valiant-sweep-10,3,True,1,1,True,False,False,False,0.999812508098465,4.464908599853516
48,drawn-sweep-9,3,True,1,1,True,False,False,False,0.999955162256114,4.492658615112305
49,dark-sweep-5,3,True,0,1,True,False,False,False,0.9999862705559962,4.464261054992676
50,sparkling-sweep-6,3,True,1,1,True,False,False,False,0.9999587308252814,4.461413860321045
51,magic-sweep-2,3,True,0,1,True,False,False,False,0.999847085644878,4.537006378173828
52,daily-sweep-4,3,True,0,1,True,False,False,False,0.9999774805378392,4.492705345153809
53,wobbly-sweep-1,3,True,0,1,True,False,False,False,0.9999662122031516,4.462242126464844
54,earnest-sweep-3,3,True,0,1,True,False,False,False,0.999926566731854,4.444191932678223
55,elated-sweep-7,3,True,1,1,True,False,False,False,0.9999282071947244,4.536517143249512
56,atomic-sweep-8,3,True,1,1,True,False,False,False,0.9998417952803412,4.444984436035156
