,name,dim,permute,variant,n_mixing_layer,use_sem,nonlin_sem,force_chain,force_uniform,mcc,val_loss
0,vibrant-sweep-19,3,False,0,1,True,True,False,False,0.9999834925346676,4.483795642852783
1,logical-sweep-17,3,False,0,1,True,True,False,False,0.9999510958654018,4.452263832092285
2,distinctive-sweep-18,3,False,0,1,True,True,False,False,0.9999742569135218,4.492233753204346
3,floral-sweep-16,3,False,0,1,True,True,False,False,0.999978368969236,4.482064723968506
4,laced-sweep-15,3,False,0,1,True,True,False,False,0.9999468021267304,4.464197158813477
5,dulcet-sweep-14,3,False,0,1,True,True,False,False,0.9998824498059984,4.4695892333984375
6,serene-sweep-13,3,False,0,1,True,True,False,False,0.9999359140889986,4.4987101554870605
7,polished-sweep-10,3,False,0,1,True,False,False,False,0.999966678058504,4.492259979248047
8,cosmic-sweep-7,3,False,0,1,True,False,False,False,0.9999527718070884,4.4820380210876465
9,solar-sweep-11,3,False,0,1,True,False,False,False,0.9999627495518776,4.49423885345459
10,azure-sweep-8,3,False,0,1,True,False,False,False,0.9999658911050588,4.451657295227051
11,lunar-sweep-12,3,False,0,1,True,True,False,False,0.999911378593971,4.443646430969238
12,lunar-sweep-9,3,False,0,1,True,False,False,False,0.99997813611064,4.492734909057617
13,deep-sweep-6,3,False,0,1,True,False,False,False,0.9999621276126484,4.463892936706543
14,noble-sweep-5,3,False,0,1,True,False,False,False,0.9999522251170536,4.491568088531494
15,spring-sweep-4,3,False,0,1,True,False,False,False,0.9999769496598908,4.497834205627441
16,dark-sweep-18,3,False,0,1,True,True,False,False,0.6902247615682603,5.701242446899414
17,eager-sweep-3,3,False,0,1,True,False,False,False,0.9999642529591248,4.443384170532227
18,laced-sweep-1,3,False,0,1,True,False,False,False,0.999976140927932,4.460049629211426
