,name,dim,permute,variant,n_mixing_layer,use_sem,nonlin_sem,force_chain,force_uniform,mcc,val_loss
0,sweet-sweep-59,5,True,119,1,True,True,False,False,0.9996525329447454,1.8861751556396484
1,curious-sweep-58,5,True,119,1,True,True,False,False,0.9998784814143926,1.9373292922973633
2,cool-sweep-57,5,True,119,1,True,True,False,False,0.9998620282153284,1.921082019805908
3,skilled-sweep-56,5,True,119,1,True,True,False,False,0.999715478812013,1.9114770889282229
4,logical-sweep-55,5,True,97,1,True,True,False,False,0.9993620814231148,1.985690355300903
5,logical-sweep-54,5,True,97,1,True,True,False,False,0.9994954279485436,1.884931564331055
6,cerulean-sweep-53,5,True,97,1,True,True,False,False,0.9998204046660634,1.9368278980255127
7,daily-sweep-52,5,True,97,1,True,True,False,False,0.9998707701232512,1.920581102371216
8,hopeful-sweep-50,5,True,75,1,True,True,False,False,0.7951709323603757,3.0717906951904297
9,amber-sweep-49,5,True,75,1,True,True,False,False,0.9998710015129452,1.886138916015625
10,jolly-sweep-48,5,True,75,1,True,True,False,False,0.9998757116007576,1.9361495971679688
11,wild-sweep-47,5,True,75,1,True,True,False,False,0.9998625652600656,1.9206926822662351
12,serene-sweep-46,5,True,75,1,True,True,False,False,0.9997365402421534,1.9125754833221436
13,exalted-sweep-45,5,True,31,1,True,True,False,False,0.8795508543898165,3.042447805404663
14,iconic-sweep-44,5,True,31,1,True,True,False,False,0.9996180502543012,1.8884527683258057
15,eager-sweep-43,5,True,31,1,True,True,False,False,0.9997146460982862,1.938737392425537
16,autumn-sweep-42,5,True,31,1,True,True,False,False,0.9999004590624192,1.920802354812622
17,wandering-sweep-41,5,True,31,1,True,True,False,False,0.9997387904195564,1.9078187942504885
18,vital-sweep-40,5,True,5,1,True,True,False,False,0.9990543057090226,1.985670566558838
19,spring-sweep-39,5,True,5,1,True,True,False,False,0.9997678730756446,1.883044719696045
20,still-sweep-38,5,True,5,1,True,True,False,False,0.9998427780887252,1.935593605041504
21,gallant-sweep-37,5,True,5,1,True,True,False,False,0.9998776276779578,1.921824932098389
22,mild-sweep-36,5,True,5,1,True,True,False,False,0.9998156203425412,1.9052958488464355
23,colorful-sweep-34,5,True,0,1,True,True,False,False,0.999609707268512,1.886894702911377
24,genial-sweep-30,5,True,119,1,True,False,False,False,0.9993471253908446,1.9703075885772705
25,driven-sweep-28,5,True,119,1,True,False,False,False,0.9999208254898224,1.9328854084014893
26,soft-sweep-27,5,True,119,1,True,False,False,False,0.999839412812903,1.9183566570281985
27,legendary-sweep-25,5,True,97,1,True,False,False,False,0.9993398966411228,1.968295335769653
28,balmy-sweep-23,5,True,97,1,True,False,False,False,0.999934957239741,1.9327661991119385
29,twilight-sweep-22,5,True,97,1,True,False,False,False,0.9998536706903668,1.9173400402069092
30,frosty-sweep-21,5,True,97,1,True,False,False,False,0.999837929175316,1.9022855758666992
31,fresh-sweep-20,5,True,75,1,True,False,False,False,0.9997391358950568,1.9667389392852783
32,polar-sweep-19,5,True,75,1,True,False,False,False,0.9997047101272916,1.8817198276519775
33,swift-sweep-18,5,True,75,1,True,False,False,False,0.9998869775350364,1.9324567317962649
34,quiet-sweep-17,5,True,75,1,True,False,False,False,0.9998312031215908,1.918576717376709
35,crimson-sweep-16,5,True,75,1,True,False,False,False,0.9998233556649896,1.9022531509399416
36,silver-sweep-13,5,True,31,1,True,False,False,False,0.9998905965038332,1.9347615242004397
37,confused-sweep-14,5,True,31,1,True,False,False,False,0.999837668184696,1.881209373474121
38,mild-sweep-15,5,True,31,1,True,False,False,False,0.9997203499476942,1.9671955108642576
39,lyric-sweep-12,5,True,31,1,True,False,False,False,0.999881420176493,1.9189906120300293
40,legendary-sweep-10,5,True,5,1,True,False,False,False,0.999704717051795,1.9659061431884768
41,earnest-sweep-11,5,True,31,1,True,False,False,False,0.9998578024697564,1.903564453125
42,quiet-sweep-9,5,True,5,1,True,False,False,False,0.9997725934887132,1.8812062740325928
43,swift-sweep-8,5,True,5,1,True,False,False,False,0.9999091635224258,1.9331650733947752
44,usual-sweep-7,5,True,5,1,True,False,False,False,0.9998679143507296,1.9192843437194824
45,driven-sweep-6,5,True,5,1,True,False,False,False,0.999782312268404,1.9043476581573489
46,glowing-sweep-5,5,True,0,1,True,False,False,False,0.9997347264032164,1.968245029449463
47,hardy-sweep-4,5,True,0,1,True,False,False,False,0.9996069409732864,1.8831610679626465
48,playful-sweep-3,5,True,0,1,True,False,False,False,0.9999002216320252,1.9328291416168213
49,pious-sweep-2,5,True,0,1,True,False,False,False,0.9998913835217138,1.9182868003845217
50,toasty-sweep-1,5,True,0,1,True,False,False,False,0.9998414354492512,1.9037504196166992
