,name,dim,permute,variant,n_mixing_layer,use_sem,nonlin_sem,force_chain,force_uniform,mcc,val_loss
0,golden-sweep-60,5,True,119,1,True,True,False,False,0.9998406711754948,1.963780641555786
1,sweet-sweep-59,5,True,119,1,True,True,False,False,0.9997691485583952,1.8900961875915527
2,glad-sweep-58,5,True,119,1,True,True,False,False,0.9998033719205386,1.942129373550415
3,apricot-sweep-57,5,True,119,1,True,True,False,False,0.9997370122756104,1.924058437347412
4,worthy-sweep-56,5,True,119,1,True,True,False,False,0.9996499051994444,1.911044359207153
5,snowy-sweep-55,5,True,97,1,True,True,False,False,0.9998941951030564,1.962398052215576
6,sleek-sweep-54,5,True,97,1,True,True,False,False,0.9998248057316936,1.886939525604248
7,northern-sweep-53,5,True,97,1,True,True,False,False,0.999866300576302,1.93372106552124
8,dauntless-sweep-52,5,True,97,1,True,True,False,False,0.9996855466801964,1.9286811351776123
9,splendid-sweep-51,5,True,97,1,True,True,False,False,0.8702603415088127,2.94165563583374
10,absurd-sweep-50,5,True,75,1,True,True,False,False,0.9998608095768386,1.965829610824585
11,winter-sweep-49,5,True,75,1,True,True,False,False,0.9999118592029588,1.883225440979004
12,glowing-sweep-48,5,True,75,1,True,True,False,False,0.994490484546619,2.0351738929748535
13,super-sweep-47,5,True,75,1,True,True,False,False,0.9998356147865032,1.9201512336730957
14,lunar-sweep-45,5,True,31,1,True,True,False,False,0.9996597244939468,1.9706602096557615
15,peach-sweep-46,5,True,75,1,True,True,False,False,0.831993097997507,2.947190046310425
16,zany-sweep-44,5,True,31,1,True,True,False,False,0.9997995883818558,1.8853399753570557
17,vital-sweep-43,5,True,31,1,True,True,False,False,0.823421892355371,3.0211195945739746
18,royal-sweep-41,5,True,31,1,True,True,False,False,0.9997076818037208,1.9155378341674805
19,dashing-sweep-42,5,True,31,1,True,True,False,False,0.9997808272892456,1.920363187789917
20,brisk-sweep-40,5,True,5,1,True,True,False,False,0.9935377136153132,2.044177293777466
21,fiery-sweep-35,5,True,0,1,True,True,False,False,0.9995648418193144,1.978658676147461
22,wandering-sweep-38,5,True,5,1,True,True,False,False,0.99976656848642,1.9395532608032229
23,classic-sweep-39,5,True,5,1,True,True,False,False,0.9998844071870052,1.886756896972656
24,absurd-sweep-36,5,True,5,1,True,True,False,False,0.9996755789753784,1.914533615112305
25,wild-sweep-33,5,True,0,1,True,True,False,False,0.9997882424833694,1.9382030963897705
26,sandy-sweep-34,5,True,0,1,True,True,False,False,0.8174083118706899,2.9354665279388428
27,wandering-sweep-32,5,True,0,1,True,True,False,False,0.8198915003133844,2.966867685317993
28,worldly-sweep-30,5,True,119,1,True,False,False,False,0.9999355538294332,1.9596738815307615
29,volcanic-sweep-31,5,True,0,1,True,True,False,False,0.9997722409060924,1.9082589149475095
30,toasty-sweep-29,5,True,119,1,True,False,False,False,0.9999359804356518,1.880598545074463
31,cosmic-sweep-27,5,True,119,1,True,False,False,False,0.9999079590320092,1.9181571006774905
32,gallant-sweep-26,5,True,119,1,True,False,False,False,0.9998756399716726,1.9031882286071775
33,autumn-sweep-24,5,True,97,1,True,False,False,False,0.999955017868418,1.880798578262329
34,efficient-sweep-25,5,True,97,1,True,False,False,False,0.999966780741623,1.959846019744873
35,sage-sweep-23,5,True,97,1,True,False,False,False,0.9999330353475632,1.9318504333496096
36,autumn-sweep-21,5,True,97,1,True,False,False,False,0.999820990883572,1.904160976409912
37,iconic-sweep-22,5,True,97,1,True,False,False,False,0.9999171401411682,1.917438507080078
38,cerulean-sweep-20,5,True,75,1,True,False,False,False,0.9999449039595056,1.9598019123077393
39,grateful-sweep-19,5,True,75,1,True,False,False,False,0.9999218316274704,1.8803651332855225
40,stilted-sweep-18,5,True,75,1,True,False,False,False,0.9999305350171952,1.9317173957824707
41,peachy-sweep-16,5,True,75,1,True,False,False,False,0.999834863136319,1.903186559677124
42,polar-sweep-17,5,True,75,1,True,False,False,False,0.999917115836632,1.91690993309021
43,feasible-sweep-15,5,True,31,1,True,False,False,False,0.9999577963987886,1.959930419921875
44,pious-sweep-14,5,True,31,1,True,False,False,False,0.9999360497036128,1.8802740573883057
45,sunny-sweep-3,5,True,0,1,True,False,False,False,0.9998995823806212,1.9316697120666504
46,denim-sweep-4,5,True,0,1,True,False,False,False,0.9999019257760446,1.880422592163086
47,dainty-sweep-5,5,True,0,1,True,False,False,False,0.999927763907165,1.9610137939453125
48,cool-sweep-10,5,True,5,1,True,False,False,False,0.999916052813598,1.9602515697479248
49,eager-sweep-6,5,True,5,1,True,False,False,False,0.9998481879567616,1.9024906158447263
50,stellar-sweep-9,5,True,5,1,True,False,False,False,0.9998907893162816,1.880493402481079
51,radiant-sweep-7,5,True,5,1,True,False,False,False,0.9999102913517128,1.91702938079834
52,crimson-sweep-12,5,True,31,1,True,False,False,False,0.9999076880041662,1.917842388153076
53,stoic-sweep-8,5,True,5,1,True,False,False,False,0.999910725946012,1.9313387870788576
54,electric-sweep-13,5,True,31,1,True,False,False,False,0.999894347665088,1.931706190109253
55,dark-sweep-11,5,True,31,1,True,False,False,False,0.9998738612434436,1.902634620666504
56,quiet-sweep-2,5,True,0,1,True,False,False,False,0.9998983227571792,1.917553186416626
57,bright-sweep-1,5,True,0,1,True,False,False,False,0.9998883137472196,1.902991771697998
