,name,dim,permute,variant,n_mixing_layer,use_sem,nonlin_sem,force_chain,force_uniform,mcc,val_loss
0,golden-frost-785,8,True,36755,1,True,True,False,False,0.7870476626064031,1.0004196166992188
1,splendid-wildflower-786,8,True,36755,1,True,True,False,False,0.7360380641673412,1.9006996154785156
2,resilient-lion-787,8,True,36755,1,True,True,False,False,0.99912524360027,0.2155933380126953
3,polar-deluge-788,8,True,36755,1,True,True,False,False,0.9993331229853856,0.2247653007507324
4,lemon-glade-789,8,True,21345,1,True,True,False,False,0.7436701532816978,1.9569127559661863
5,stellar-tree-790,8,True,21345,1,True,True,False,False,0.8747439041034752,0.47955942153930664
6,faithful-universe-791,8,True,21345,1,True,True,False,False,0.9990683610089762,0.20560073852539065
7,balmy-surf-792,8,True,12450,1,True,True,False,False,0.7685320785413183,1.0127801895141602
8,jolly-pond-793,8,True,12450,1,True,True,False,False,0.6612866949212535,1.7968366146087646
9,pleasant-snowball-794,8,True,12450,1,True,True,False,False,0.725842104647481,1.955034255981445
10,graceful-puddle-795,8,True,12450,1,True,True,False,False,0.999190881981798,0.21725988388061523
11,fancy-universe-796,8,True,12450,1,True,True,False,False,0.9994212392635882,0.2027297019958496
12,logical-terrain-797,8,True,8754,1,True,True,False,False,0.8023882435290682,0.9988770484924316
13,radiant-blaze-798,8,True,8754,1,True,True,False,False,0.7120243058616726,1.3677153587341309
14,azure-wood-799,8,True,8754,1,True,True,False,False,0.9994784140167694,0.2152671813964844
15,toasty-haze-800,8,True,8754,1,True,True,False,False,0.9991351783593232,0.2244772911071777
16,quiet-lake-801,8,True,575,1,True,True,False,False,0.8013751352531858,0.9983444213867188
17,rose-terrain-802,8,True,575,1,True,True,False,False,0.7403898042056241,1.315999984741211
18,apricot-galaxy-803,8,True,575,1,True,True,False,False,0.9989420310715548,0.2329006195068359
19,visionary-dust-804,8,True,0,1,True,True,False,False,0.8001806797267774,1.0164227485656738
20,devoted-star-805,8,True,0,1,True,True,False,False,0.7131030555331175,1.9478073120117188
21,worthy-elevator-806,8,True,0,1,True,True,False,False,0.9986368165998738,0.2202730178833008
22,dutiful-butterfly-807,8,True,0,1,True,True,False,False,0.999502073345061,0.22344207763671875
23,lively-microwave-808,8,True,36755,1,True,False,False,False,0.999220260285246,0.21310853958129883
24,summer-yogurt-809,8,True,36755,1,True,False,False,False,0.7343398291368135,1.8402633666992188
25,northern-eon-810,8,True,36755,1,True,False,False,False,0.6745059154624304,1.4644536972045898
26,northern-yogurt-811,8,True,36755,1,True,False,False,False,0.9994202045137288,0.21187210083007812
27,proud-surf-812,8,True,36755,1,True,False,False,False,0.9996143923406624,0.19968605041503903
28,vocal-thunder-813,8,True,21345,1,True,False,False,False,0.9995160618581956,0.21488666534423828
29,light-vortex-814,8,True,21345,1,True,False,False,False,0.7589819893357959,1.1175751686096191
30,expert-armadillo-815,8,True,21345,1,True,False,False,False,0.999412151376227,0.2114906311035156
31,restful-dew-816,8,True,12450,1,True,False,False,False,0.9995392922072224,0.21223068237304688
32,lemon-eon-817,8,True,12450,1,True,False,False,False,0.7063054124179535,1.870588302612305
33,warm-moon-818,8,True,21345,1,True,False,False,False,0.9996033566210312,0.2002120018005371
34,gallant-breeze-819,8,True,12450,1,True,False,False,False,0.9989459497136968,0.21749353408813477
35,summer-snow-820,8,True,8754,1,True,False,False,False,0.9993328835265878,0.21512365341186523
36,flowing-bee-821,8,True,8754,1,True,False,False,False,0.6042372812790955,3.068920850753784
37,comic-salad-822,8,True,12450,1,True,False,False,False,0.99951846079956,0.1997842788696289
38,wild-sky-823,8,True,8754,1,True,False,False,False,0.999477441801906,0.20042896270751953
39,proud-capybara-824,8,True,575,1,True,False,False,False,0.9991039695317347,0.2176990509033203
40,confused-plant-825,8,True,575,1,True,False,False,False,0.691128721409549,1.8724606037139893
41,magic-shape-826,8,True,575,1,True,False,False,False,0.9994559180151016,0.21233606338500977
42,toasty-dust-827,8,True,575,1,True,False,False,False,0.9995909303714188,0.20017671585083008
43,worthy-spaceship-828,8,True,0,1,True,False,False,False,0.9992727598460192,0.2156882286071777
44,jolly-paper-829,8,True,0,1,True,False,False,False,0.999545418902575,0.2117609977722168
45,astral-aardvark-830,8,True,0,1,True,False,False,False,0.9996048160297684,0.20085525512695312
