,name,dim,permute,variant,n_mixing_layer,use_sem,nonlin_sem,force_chain,force_uniform,mcc,val_loss
0,snowy-snowball-1280,8,True,36755,1,True,True,False,False,0.69104259542182,1.8491950035095217
1,lilac-fog-1281,8,True,36755,1,True,True,False,False,0.4537789112322825,4.516263008117676
2,misty-capybara-1282,8,True,36755,1,True,True,False,False,0.7033760629150789,1.8694231510162351
3,pretty-breeze-1283,8,True,36755,1,True,True,False,False,0.9990558255052484,0.2116246223449707
4,unique-morning-1284,8,True,36755,1,True,True,False,False,0.9159996423984832,0.30202293395996094
5,breezy-meadow-1285,8,True,21345,1,True,True,False,False,0.7811368249288669,0.9910426139831544
6,stellar-lake-1286,8,True,21345,1,True,True,False,False,0.3654926593553884,5.858577251434326
7,northern-snowball-1287,8,True,21345,1,True,True,False,False,0.8234679977743335,1.0558037757873535
8,polar-sky-1288,8,True,21345,1,True,True,False,False,0.9987863050607908,0.2145113945007324
9,efficient-sun-1289,8,True,21345,1,True,True,False,False,0.9987801118271112,0.23418474197387695
10,misty-sponge-1290,8,True,12450,1,True,True,False,False,0.4690117158061742,4.492614269256592
11,true-oath-1291,8,True,12450,1,True,True,False,False,0.7185523025175446,1.8720135688781736
12,peachy-totem-1292,8,True,12450,1,True,True,False,False,0.9990362313820544,0.2105579376220703
13,ethereal-water-1293,8,True,12450,1,True,True,False,False,0.998654504045865,0.2348785400390625
14,astral-sea-1294,8,True,8754,1,True,True,False,False,0.784681167069085,0.9932465553283693
15,zesty-brook-1295,8,True,8754,1,True,True,False,False,0.6778812089651474,1.6119861602783203
16,proud-cosmos-1296,8,True,8754,1,True,True,False,False,0.44446901618265205,4.5951385498046875
17,quiet-darkness-1297,8,True,8754,1,True,True,False,False,0.998655054790104,0.2124972343444824
18,noble-monkey-1298,8,True,8754,1,True,True,False,False,0.9987154821168248,0.2292442321777344
19,rose-fire-1299,8,True,575,1,True,True,False,False,0.7906038922980483,0.9824943542480468
20,apricot-breeze-1300,8,True,575,1,True,True,False,False,0.7166409827320881,1.8919737339019775
21,easy-oath-1301,8,True,575,1,True,True,False,False,0.4755033916854417,4.492068290710449
22,toasty-star-1302,8,True,575,1,True,True,False,False,0.9990261274176264,0.21286296844482425
23,young-water-1303,8,True,575,1,True,True,False,False,0.9987401807653808,0.233731746673584
24,fast-puddle-1304,8,True,0,1,True,True,False,False,0.7901144853260919,0.9893274307250975
25,giddy-dream-1305,8,True,0,1,True,True,False,False,0.36587779544445914,5.8564677238464355
26,pretty-serenity-1306,8,True,0,1,True,True,False,False,0.7014242583812318,1.3975419998168943
27,dainty-aardvark-1307,8,True,0,1,True,True,False,False,0.9989783090918372,0.2137317657470703
28,graceful-butterfly-1308,8,True,0,1,True,True,False,False,0.9985807992250032,0.23242855072021484
29,absurd-voice-1309,8,True,21345,1,True,False,False,False,0.99939301899914,0.20132017135620117
30,golden-plant-1310,8,True,12450,1,True,False,False,False,0.8149256568029751,1.035871505737305
31,dandy-wave-1311,8,True,21345,1,True,False,False,False,0.3598167640189728,5.835072040557861
32,decent-snow-1312,8,True,36755,1,True,False,False,False,0.35692525367642536,5.870025157928467
33,elated-sun-1313,8,True,36755,1,True,False,False,False,0.9993444697986102,0.20116758346557617
34,lucky-eon-1314,8,True,21345,1,True,False,False,False,0.99917419793494,0.2232460975646973
35,genial-monkey-1315,8,True,36755,1,True,False,False,False,0.9995694278677278,0.22260236740112305
36,balmy-elevator-1316,8,True,21345,1,True,False,False,False,0.9329611518578116,0.4923429489135742
37,different-donkey-1317,8,True,21345,1,True,False,False,False,0.7048314509997529,1.8332653045654297
38,graceful-lion-1318,8,True,12450,1,True,False,False,False,0.3539555925960419,5.819931507110596
39,valiant-wave-1319,8,True,12450,1,True,False,False,False,0.9319820805874318,0.4777455329895019
40,vivid-thunder-1320,8,True,36755,1,True,False,False,False,0.7254982588868968,1.834427833557129
41,graceful-breeze-1321,8,True,36755,1,True,False,False,False,0.9304564446558592,0.48300981521606445
42,curious-jazz-1322,8,True,12450,1,True,False,False,False,0.9991813126492796,0.20153141021728516
43,vibrant-serenity-1323,8,True,12450,1,True,False,False,False,0.999405101923996,0.2015056610107422
44,absurd-blaze-1324,8,True,8754,1,True,False,False,False,0.782428172806022,1.020714282989502
45,stellar-leaf-1325,8,True,8754,1,True,False,False,False,0.9990089616110708,0.20710134506225583
46,fluent-bush-1326,8,True,8754,1,True,False,False,False,0.999309774587486,0.2020726203918457
47,generous-monkey-1327,8,True,8754,1,True,False,False,False,0.3620717768264289,5.856717109680176
48,jolly-armadillo-1328,8,True,8754,1,True,False,False,False,0.9994335789506528,0.22456645965576172
49,eternal-serenity-1329,8,True,575,1,True,False,False,False,0.9318705850874334,0.48877906799316406
50,exalted-hill-1330,8,True,0,1,True,False,False,False,0.35741735778626665,5.813031196594238
51,volcanic-river-1331,8,True,575,1,True,False,False,False,0.9993493617627616,0.2022490501403809
52,hopeful-snow-1332,8,True,0,1,True,False,False,False,0.9967770583956812,0.21935272216796875
53,curious-dragon-1333,8,True,575,1,True,False,False,False,0.999534214655583,0.2000422477722168
54,rose-serenity-1334,8,True,575,1,True,False,False,False,0.8154492619812909,1.0008301734924316
55,autumn-wildflower-1335,8,True,0,1,True,False,False,False,0.8248198577996931,0.9939851760864258
56,major-jazz-1336,8,True,0,1,True,False,False,False,0.9994718941634768,0.2123870849609375
57,elated-eon-1337,8,True,0,1,True,False,False,False,0.9997368862606676,0.19689083099365232
