,name,dim,permute,variant,n_mixing_layer,use_sem,nonlin_sem,force_chain,force_uniform,mcc,val_loss
0,graceful-firebrand-766,8,False,0,1,True,True,False,False,0.9992295456708588,0.21403074264526367
1,clear-sunset-767,8,False,0,1,True,True,False,False,0.999486315004368,0.19814586639404297
2,copper-wood-768,8,False,0,1,True,True,False,False,0.9336650331449768,0.463017463684082
3,lucky-lion-769,8,False,0,1,True,True,False,False,0.9994647722676646,0.2104320526123047
4,faithful-night-770,8,False,0,1,True,True,False,False,0.9994833014056572,0.21943902969360352
5,decent-totem-771,8,False,0,1,True,True,False,False,0.9994218803476758,0.20617437362670896
6,giddy-moon-772,8,False,0,1,True,True,False,False,0.9546204229416516,0.39360618591308594
7,dashing-sky-773,8,False,0,1,True,True,False,False,0.9350217006543976,0.48402976989746094
8,efficient-sun-774,8,False,0,1,True,True,False,False,0.9994657360326052,0.2075634002685547
9,graceful-serenity-775,8,False,0,1,True,False,False,False,0.9996403885427748,0.20478010177612305
10,logical-silence-776,8,False,0,1,True,True,False,False,0.9994780825076024,0.2234654426574707
11,fanciful-vortex-777,8,False,0,1,True,False,False,False,0.9995520811012104,0.1971039772033691
12,curious-universe-778,8,False,0,1,True,False,False,False,0.9996713932249616,0.2232203483581543
13,jolly-shape-779,8,False,0,1,True,False,False,False,0.9996595352208192,0.20654773712158203
14,iconic-plant-780,8,False,0,1,True,False,False,False,0.9995704840859012,0.21356201171875
15,solar-haze-781,8,False,0,1,True,False,False,False,0.9995237113779494,0.21808767318725583
16,colorful-eon-782,8,False,0,1,True,False,False,False,0.9996085561632492,0.19951772689819336
17,autumn-flower-783,8,False,0,1,True,False,False,False,0.999546733108815,0.2105250358581543
18,still-brook-784,8,False,0,1,True,False,False,False,0.9995925756876288,0.1993727684020996
